id,strength,strength_overall_home,strength_attack_home,strength_defence_home,strength_overall_away,strength_attack_away,strength_defence_away
1,4,1190,1110,1100,1220,1140,1170
2,3,1130,1130,1130,1180,1140,1160
3,3,1080,1090,1100,1100,1130,1150
4,3,1140,1140,1090,1180,1180,1130
5,2,1050,1050,1060,1060,1070,1100
6,5,1340,1320,1340,1350,1350,1320
7,3,1060,1100,1090,1100,1140,1120
8,4,1190,1140,1150,1230,1150,1210
9,3,1170,1100,1120,1190,1120,1160
10,3,1090,1050,1110,1130,1060,1150
11,5,1340,1290,1350,1350,1330,1360
12,5,1340,1330,1340,1360,1350,1350
13,4,1280,1200,1250,1320,1240,1300
14,2,1050,1030,1100,1070,1040,1140
15,2,1010,1000,1000,1030,1020,1040
16,3,1070,1090,1090,1090,1120,1100
17,3,1180,1110,1120,1210,1130,1170
18,2,1050,1040,1040,1060,1060,1050
19,4,1240,1120,1260,1250,1140,1280
20,3,1090,1100,1090,1100,1120,1120
